fight_stat_id,fight_id,fighter_id,knockdowns,total_strikes_att,total_strikes_succ,sig_strikes_att,sig_strikes_succ,takedown_att,takedown_succ,submission_att,reversals,ctrl_time,event_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,result,result_details,finish_round,finish_time,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,event_city,event_country
4305,2153,2728.0,0.0,106.0,69.0,90.0,54.0,1.0,1.0,1.0,2.0,273.0,226,147,226.0,2728.0,2728.0,3.0,0,0,0,2,3,3,265,177.8,155.0,180.34,0.0,37.541409993155376,30,14,1,1.0,0,0
4304,2152,3119.0,0.0,125.0,64.0,115.0,58.0,3.0,1.0,0.0,0.0,171.0,226,75,3119.0,297.0,297.0,3.0,0,0,0,1,7,3,300,175.26,155.0,185.42,1.0,47.48254620123203,42,22,1,1.0,0,0
4303,2152,297.0,0.0,284.0,129.0,222.0,76.0,0.0,0.0,0.0,0.0,134.0,226,75,3119.0,297.0,297.0,3.0,0,0,0,1,7,3,300,172.72,155.0,177.8,0.0,45.96303901437371,16,7,1,0.0,0,0
4302,2151,3568.0,0.0,55.0,34.0,41.0,23.0,3.0,1.0,0.0,1.0,378.0,226,0,3568.0,2216.0,2216.0,3.0,0,4,0,2,3,3,110,167.64,125.0,167.64,0.0,39.15947980835045,17,7,0,1.0,0,0
4301,2151,2216.0,0.0,67.0,26.0,56.0,16.0,0.0,0.0,5.0,1.0,56.0,226,0,3568.0,2216.0,2216.0,3.0,0,4,0,2,3,3,110,170.18,135.0,180.34,0.0,34.84462696783025,11,3,0,0.0,0,0
4300,2150,2994.0,1.0,109.0,36.0,97.0,24.0,1.0,1.0,0.0,0.0,128.0,226,147,2994.0,1023.0,1023.0,3.0,0,4,0,0,5,2,260,170.18,135.0,175.26,0.0,39.64955509924709,9,5,0,0.0,0,0
4299,2150,1023.0,1.0,131.0,54.0,127.0,51.0,2.0,2.0,0.0,0.0,67.0,226,147,2994.0,1023.0,1023.0,3.0,0,4,0,0,5,2,260,172.72,135.0,177.8,0.0,42.46132785763176,11,7,0,1.0,0,0
4298,2149,2365.0,0.0,303.0,181.0,247.0,127.0,15.0,5.0,0.0,0.0,345.0,225,121,2365.0,3196.0,2365.0,5.0,1,9,0,1,1,5,300,160.02,125.0,167.64,0.0,37.61533196440794,27,3,1,0.0,48,0
4297,2149,3196.0,1.0,170.0,71.0,156.0,57.0,4.0,1.0,0.0,0.0,154.0,225,121,2365.0,3196.0,2365.0,5.0,1,9,0,1,1,5,300,160.02,135.0,167.64,0.0,39.493497604380565,22,12,0,0.0,48,0
4296,2148,2422.0,0.0,170.0,54.0,169.0,53.0,4.0,0.0,0.0,0.0,5.0,225,0,2422.0,427.0,427.0,3.0,0,10,0,1,1,3,300,185.42,205.0,185.42,0.0,45.76317590691308,37,12,0,0.0,48,0
4295,2148,427.0,1.0,207.0,103.0,179.0,80.0,5.0,5.0,0.0,0.0,218.0,225,0,2422.0,427.0,427.0,3.0,0,10,0,1,1,3,300,187.96,205.0,193.04,0.0,44.407939767282684,33,9,0,0.0,48,0
4294,2147,1225.0,1.0,28.0,18.0,28.0,18.0,0.0,0.0,0.0,0.0,2.0,225,87,1225.0,3499.0,1225.0,3.0,0,0,0,0,15,1,155,177.8,155.0,182.88,0.0,37.158110882956876,24,10,0,0.0,48,0
4293,2147,3499.0,0.0,12.0,4.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,225,87,1225.0,3499.0,1225.0,3.0,0,0,0,0,15,1,155,185.42,155.0,185.42,0.0,40.99110198494182,36,17,0,2.0,48,0
4292,2146,2193.0,0.0,55.0,25.0,44.0,14.0,0.0,0.0,0.0,0.0,20.0,225,121,2193.0,2124.0,2124.0,3.0,0,1,0,0,46,2,152,177.8,170.0,180.34,1.0,35.4715947980835,16,6,0,0.0,48,0
4291,2146,2124.0,0.0,65.0,40.0,56.0,32.0,8.0,2.0,0.0,0.0,195.0,225,121,2193.0,2124.0,2124.0,3.0,0,1,0,0,46,2,152,172.72,145.0,180.34,0.0,41.84531143052703,20,8,0,0.0,48,0
4290,2145,2738.0,1.0,96.0,56.0,93.0,54.0,0.0,0.0,0.0,0.0,70.0,225,121,2738.0,116.0,2738.0,3.0,0,0,0,0,102,1,291,177.8,155.0,182.88,0.0,40.0766598220397,21,5,0,0.0,48,0
4289,2145,116.0,0.0,58.0,18.0,57.0,18.0,1.0,0.0,0.0,0.0,0.0,225,121,2738.0,116.0,2738.0,3.0,0,0,0,0,102,1,291,177.8,155.0,172.72,0.0,40.51471594798083,16,10,0,0.0,48,0
4288,2144,2702.0,0.0,136.0,40.0,112.0,26.0,6.0,3.0,0.0,0.0,513.0,225,87,2702.0,2547.0,2702.0,3.0,0,1,0,1,7,3,300,170.18,155.0,177.8,0.0,42.2943189596167,38,20,0,0.0,48,0
4287,2144,2547.0,0.0,138.0,74.0,99.0,41.0,0.0,0.0,1.0,0.0,10.0,225,87,2702.0,2547.0,2702.0,3.0,0,1,0,1,7,3,300,180.34,145.0,185.42,0.0,40.68720054757016,29,10,2,0.0,48,0
4284,2142,3891.0,1.0,6.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,6.0,225,121,3891.0,1805.0,3891.0,3.0,0,10,0,2,45,1,50,187.96,205.0,187.96,0.0,40.799452429842574,23,5,0,0.0,48,0
4283,2142,1805.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,225,121,3891.0,1805.0,3891.0,3.0,0,10,0,2,45,1,50,182.88,205.0,187.96,0.0,53.22108145106092,27,8,0,0.0,48,0
4282,2141,914.0,0.0,51.0,29.0,45.0,25.0,6.0,1.0,0.0,0.0,218.0,225,0,914.0,2328.0,2328.0,3.0,0,6,0,0,234,2,228,185.42,255.0,185.42,0.0,47.53456536618754,15,3,0,1.0,48,0
4281,2141,2328.0,0.0,88.0,56.0,72.0,42.0,2.0,2.0,0.0,0.0,124.0,225,0,914.0,2328.0,2328.0,3.0,0,6,0,0,234,2,228,182.88,260.0,190.5,1.0,39.42505133470226,19,8,0,0.0,48,0
4280,2140,1512.0,0.0,170.0,122.0,111.0,64.0,6.0,4.0,4.0,0.0,342.0,225,87,1512.0,575.0,1512.0,3.0,0,5,0,2,32,3,133,182.88,185.0,195.58,0.0,41.24845995893224,21,9,1,0.0,48,0
4279,2140,575.0,0.0,86.0,14.0,84.0,12.0,0.0,0.0,0.0,0.0,11.0,225,87,1512.0,575.0,1512.0,3.0,0,5,0,2,32,3,133,177.8,170.0,187.96,0.0,36.7501711156742,12,6,0,0.0,48,0
4278,2139,399.0,0.0,119.0,52.0,115.0,49.0,1.0,1.0,0.0,0.0,217.0,225,0,399.0,1666.0,1666.0,3.0,0,3,0,1,1,3,300,185.42,170.0,200.66,0.0,40.030116358658454,17,6,1,0.0,48,0
4277,2139,1666.0,0.0,234.0,121.0,159.0,60.0,2.0,1.0,2.0,1.0,242.0,225,0,399.0,1666.0,1666.0,3.0,0,3,0,1,1,3,300,182.88,170.0,190.5,0.0,44.41889117043121,22,7,0,0.0,48,0
4276,2138,3813.0,1.0,54.0,19.0,53.0,18.0,0.0,0.0,0.0,0.0,6.0,224,3,3813.0,3767.0,3813.0,5.0,0,5,0,0,25,2,87,182.88,185.0,187.96,1.0,46.98151950718686,26,14,0,1.0,36,6
