fight_stat_id,fight_id,fighter_id,referee,f_1,f_2,winner,num_rounds,title_fight,weight_class,gender,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,cumulative_ctrl_time,cumulative_reversals,cumulative_submission_att,cumulative_takedown_succ,cumulative_takedown_att,cumulative_sig_strikes_att,cumulative_total_strikes_succ,cumulative_total_strikes_att,cumulative_knockdowns,avg_finish_time
2222,1111,48.0,165,48.0,105.0,48.0,3.0,0,3,0,180.34,170.0,177.8,1.0,49.87542778918549,18,9,0,0.0,105.0,1.0,2.0,1.0,1.0,26.0,11.0,26.0,0.0,111.66666666666667
2409,1205,48.0,165,2372.0,48.0,2372.0,3.0,0,3,0,180.34,170.0,177.8,1.0,49.87542778918549,18,9,0,0.0,105.0,1.0,2.0,1.0,1.0,27.0,11.0,27.0,0.0,94.0
2668,1334,48.0,154,48.0,2683.0,2683.0,3.0,0,3,0,180.34,170.0,177.8,1.0,49.87542778918549,18,9,0,0.0,406.0,2.0,4.0,2.0,7.0,50.0,23.0,55.0,0.0,135.2
7813,3907,54.0,3,2209.0,54.0,2209.0,3.0,0,2,1,170.18,115.0,175.26,1.0,36.42984257357974,8,8,0,0.0,120.0,3.0,0.0,1.0,2.0,116.0,77.0,156.0,0.0,300.0
8293,4147,54.0,4,2552.0,54.0,2552.0,3.0,0,2,1,170.18,115.0,175.26,1.0,36.42984257357974,8,8,0,0.0,320.0,3.0,0.0,4.0,8.0,224.0,131.0,293.0,0.0,300.0
8958,4479,54.0,5,54.0,3239.0,3239.0,3.0,0,2,1,170.18,115.0,175.26,1.0,36.42984257357974,8,8,0,0.0,362.0,3.0,0.0,4.0,8.0,366.0,204.0,458.0,1.0,300.0
9536,4768,54.0,101,54.0,3403.0,54.0,3.0,0,2,1,170.18,115.0,175.26,1.0,36.42984257357974,8,8,0,0.0,563.0,4.0,3.0,5.0,10.0,456.0,263.0,571.0,1.0,300.0
10176,5088,54.0,19,54.0,2184.0,54.0,3.0,0,2,1,170.18,115.0,175.26,1.0,36.42984257357974,8,8,0,0.0,1337.0,4.0,3.0,6.0,15.0,556.0,410.0,765.0,1.0,300.0
10577,5289,54.0,24,1862.0,54.0,1862.0,3.0,0,2,1,170.18,115.0,175.26,1.0,36.42984257357974,8,8,0,0.0,1674.0,5.0,3.0,8.0,21.0,663.0,492.0,913.0,1.0,300.0
11232,5616,54.0,1,54.0,585.0,585.0,3.0,0,2,1,170.18,115.0,175.26,1.0,36.42984257357974,8,8,0,0.0,1904.0,5.0,3.0,8.0,22.0,777.0,581.0,1089.0,1.0,300.0
11514,5757,54.0,4,54.0,2739.0,54.0,3.0,0,2,1,170.18,115.0,175.26,1.0,36.42984257357974,8,8,0,0.0,2403.0,5.0,6.0,10.0,26.0,819.0,732.0,1273.0,1.0,300.0
